Удмуртская Республика;1 ;1 ;1 ;3 ;0 ;1 ;4 ;3 ;5 ;13 ;1 ;10 ;0 ;9 ;5 ;3 ;6 ;4 ;6 ;14 ;14 ;4 ;2 ;5 ;4 ;1 ;3 ;2 ;5 ;1 ;1 ;4 ;12 ;2 ;9 ;18 ;7 ;4 
Чувашская Республика - Чувашия;0 ;3 ;6 ;5 ;1 ;0 ;6 ;3 ;5 ;6 ;6 ;6 ;3 ;4 ;5 ;3 ;3 ;4 ;7 ;2 ;3 ;4 ;1 ;7 ;3 ;6 ;3 ;4 ;3 ;4 ;3 ;4 ;2 ;6 ;2 ;6 ;2 ;10 
Пермский край;2 ;2 ;6 ;2 ;1 ;11 ;10 ;0 ;12 ;4 ;2 ;3 ;7 ;2 ;7 ;8 ;4 ;16 ;11 ;4 ;5 ;2 ;5 ;8 ;0 ;10 ;0 ;6 ;1 ;6 ;8 ;4 ;8 ;14 ;10 ;7 ;4 ;3 
Кировская область;2 ;0 ;7 ;0 ;0 ;2 ;7 ;1 ;4 ;3 ;1 ;4 ;0 ;2 ;1 ;3 ;3 ;2 ;0 ;2 ;0 ;4 ;3 ;3 ;0 ;1 ;2 ;0 ;5 ;1 ;2 ;2 ;3 ;4 ;6 ;6 ;2 ;2 
Нижегородская область;1 ;4 ;8 ;6 ;2 ;5 ;8 ;1 ;4 ;4 ;13 ;11 ;3 ;5 ;6 ;5 ;16 ;12 ;12 ;7 ;2 ;2 ;10 ;7 ;2 ;2 ;5 ;5 ;5 ;3 ;4 ;3 ;3 ;2 ;5 ;4 ;8 ;3 
Оренбургская область;0 ;0 ;1 ;2 ;1 ;1 ;5 ;7 ;7 ;3 ;5 ;9 ;5 ;1 ;4 ;4 ;0 ;2 ;6 ;7 ;4 ;7 ;6 ;8 ;2 ;2 ;7 ;1 ;1 ;1 ;1 ;1 ;2 ;16 ;4 ;0 ;0 ;4 
Пензенская область;0 ;2 ;0 ;3 ;3 ;3 ;3 ;6 ;3 ;2 ;3 ;4 ;3 ;10 ;3 ;2 ;7 ;5 ;2 ;3 ;3 ;5 ;5 ;2 ;0 ;1 ;1 ;2 ;3 ;2 ;4 ;1 ;3 ;6 ;7 ;7 ;2 ;6 
Самарская область;0 ;2 ;9 ;2 ;1 ;3 ;0 ;2 ;0 ;5 ;1 ;12 ;0 ;6 ;6 ;3 ;9 ;8 ;5 ;17 ;4 ;2 ;4 ;11 ;4 ;5 ;1 ;3 ;3 ;4 ;28 ;2 ;2 ;3 ;6 ;23 ;10 ;6 
Саратовская область;0 ;5 ;2 ;9 ;1 ;0 ;2 ;1 ;5 ;10 ;9 ;0 ;1 ;3 ;5 ;4 ;1 ;4 ;3 ;7 ;4 ;1 ;5 ;15 ;2 ;5 ;3 ;1 ;3 ;1 ;1 ;9 ;2 ;1 ;9 ;11 ;0 ;2 
Ульяновская область;1 ;4 ;0 ;1 ;0 ;4 ;3 ;2 ;6 ;5 ;4 ;4 ;1 ;4 ;2 ;5 ;3 ;12 ;10 ;1 ;6 ;7 ;6 ;3 ;2 ;3 ;1 ;2 ;1 ;4 ;0 ;2 ;5 ;1 ;3 ;9 ;1 ;2 
